ticker,date,entry,d10,d20,adr,stop_pct,rr10sma,gain10sma_pct,mae10sma_pct,src,split,d10_adr,d20_adr
RUN,2020-11-17,57.4,4.1515454237538885,3.30429750560548,6.745926231545709,3.257839721254351,2.72,8.87,-4.62,db,1.0,0.6154151826238746,0.48982117387434865
NUGT,2022-03-01,59.93,6.2588652482269636,15.796693990214216,6.3853351257273285,1.902219255798433,4.58,8.71,-2.34,db,1.0,0.980193697744884,2.4739021021100873
LABU,2021-06-07,1300.0,6.174450676127341,7.19616029667054,8.739928919547456,3.076923076923077,2.73,8.42,-5.88,db,0.05,0.7064646329465855,0.8233659979288652
TAN,2020-11-16,74.72,2.8181405356250133,3.8491739307956463,4.452476470008678,2.087794432548183,4.02,8.39,-2.18,db,1.0,0.6329377717339224,0.8645018018002337
RH,2020-07-01,259.0,2.5474527943032843,3.7629078920542236,5.43244118265956,3.8532818532818487,1.98,7.65,-3.95,db,1.0,0.4689333411348833,0.6926734713788502
SE,2020-09-25,153.52,3.569476360905699,3.3394142249478342,5.22176781237811,2.436164669098495,3.12,7.61,-2.59,db,1.0,0.6835762311078476,0.6395179458251304
ROKU,2020-07-09,139.62,11.310421894275645,14.315190638682363,6.3142103341329125,2.306259848159289,3.27,7.55,-2.39,db,1.0,1.7912646706009403,2.267138704787567
PFE,2021-12-13,54.22,2.7711426130247796,4.590040081970748,3.420057578847755,1.161932866101061,6.02,6.99,-1.44,db,1.0,0.8102619763373692,1.342094387638108
BLDP,2019-11-12,6.2,6.878124039605904,8.524417776656158,4.415043678213173,4.032258064516129,1.72,6.94,-2.1,db,1.0,1.5578835773578514,1.9307663520343934
YINN,2019-10-09,341.19999999999993,2.8392302480430898,-1.7846858092554152,2.655889274778999,0.7033997655333966,9.67,6.8,-0.82,db,0.05,1.069031858746953,-0.671972971992186
PBR,2019-10-22,14.94,4.191366647558148,4.322324179632564,2.127434921626865,1.004016064257031,6.73,6.76,-1.07,db,1.0,1.9701503462926044,2.0317068859277967
VIVE,2019-12-31,9.2,8.853841028649878,8.3966145586849,7.572138341293064,4.347826086956525,1.5,6.52,-4.35,yf,0.1,1.1692656195103195,1.108882878287594
PDD,2021-02-02,183.83,7.240154089210193,6.845605025616464,5.816221000256419,3.443398792362515,1.89,6.5,-3.72,db,1.0,1.2448210081582176,1.1769850260701342
DHT,2019-12-19,7.55,2.7630321567893024,2.8400184551534924,3.0388374463246612,1.324503311258273,4.9,6.49,-1.32,db,1.0,0.9092398674141214,0.9345739959168821
AMD,2020-11-19,84.5,2.5273914213490567,5.034183220228239,3.799176488814234,1.964497041420114,3.21,6.31,-3.29,db,1.0,0.6652471736415394,1.325072218953288
M,2021-01-06,11.85,6.249438958525055,7.060576908123006,6.2924451022737635,2.616033755274266,2.39,6.24,-2.95,db,1.0,0.9931654320300438,1.122072071089135
CLF,2021-05-04,18.65,4.6870616892222605,4.335664335664324,6.081152382662838,2.037533512064338,3.03,6.17,-2.36,db,1.0,0.7707522183763914,0.7129675533251162
