ticker,date,as_of,src,rr10sma,gain10sma_pct,base_age,base_censored,base_bucket,1w,1m,3m,6m,12m,adr,qqq_1w,qqq_1m,qqq_3m,qqq_6m,qqq_12m,rel_1w,rel_1m,rel_3m,rel_6m,rel_12m
ARKK,2021-01-06,2021-01-05,db,4.97,9.9,7,False,6-30,2.767057849925836,10.763774896544454,35.36768496018345,73.21065321526339,158.93489818258962,3.408445642960843,-0.3514978847981798,2.2601491461739176,11.516669785183065,23.88482800853968,46.4354508260415,3.129556058071703,8.315679002399246,21.387847414153516,39.81587253228744,76.82528152980677
TNA,2021-05-26,2021-05-25,db,7.58,9.86,50,False,31-60,-0.6363152727328458,-9.332763734211625,-3.440505545128969,57.804714112123975,257.5851310054474,5.798373135940325,3.336244247947384,-1.9003028089057517,6.572430101476745,12.72944899413304,45.68305210067736,-3.8443041447765225,-7.576436154362165,-9.39542772654386,39.985350341184464,145.45417318572555
MOS,2022-02-01,2022-01-31,db,4.9,9.41,9,False,6-30,2.1477791948241176,1.6798175790925907,-3.6859449806745603,28.50236530881325,55.146748858350335,4.3085111273124514,2.7596952721039125,-8.747011270652816,-5.852300160385027,-0.1792181627059075,15.971185057451919,-0.5954825728700985,11.426287505684861,2.3010176386687675,28.733078366656727,33.78042897594855
JMIA,2020-01-16,2020-01-15,db,1.75,9.4,120,True,>60,-3.040000915527341,12.639401744869438,-10.619472636405137,-74.59119561487361,,6.037396485062394,1.390760676329661,6.495167914871947,14.01785141159917,13.877068055942354,36.7067109931966,-4.369985551248945,5.769495414955306,-21.608304088334997,-77.6875144233216,
BYND,2020-06-08,2020-06-05,db,3.52,9.29,16,False,6-30,4.084500559195581,33.316687197577856,39.28235626764651,81.27883809485141,30.14619957618936,7.229698435495517,2.7125455060205805,10.121282939508959,13.521786429213645,18.681419460389527,37.18875694701573,1.3357229600492904,21.063507106805535,22.69218151750618,52.744076468814114,-5.133479978644539
RUN,2020-11-17,2020-11-16,db,2.72,8.87,32,False,31-60,0.07207983352000014,-10.995352905051881,21.696246941575104,294.66950947926534,277.49829119845487,6.745926231545709,1.5974504871432815,1.6256183947862546,7.730745105301384,31.54921194146201,45.37182286402754,-1.501386743771005,-12.419084379697743,12.963339130926045,200.01662773539763,159.6777585650454
NUGT,2022-03-01,2022-02-28,db,4.58,8.71,2,False,<=5,-0.7939237708961877,35.91866817699496,14.79928685695553,9.008165779117228,14.160876506834374,6.3853351257273285,1.5489857191870238,-1.4212485046986911,-11.236482826631866,-7.555606100960455,10.928450930802969,-2.307171729476498,37.87826089831685,29.331611131108893,17.917551493893,2.9139734206220735
LABU,2021-06-07,2021-06-04,db,2.73,8.42,80,False,>60,-2.6984302823798934,-8.247281999515177,-26.700964399883297,-33.69390527939873,32.683980718640846,8.739928919547456,0.5001037051004076,1.653822357946555,10.497806016444834,10.18358614810182,43.478821486735676,-3.182617598948778,-9.740021700903345,-33.66471404037834,-39.822166768581305,-7.523647501588093
TAN,2020-11-16,2020-11-13,db,4.02,8.39,4,False,<=5,-2.5281321001308976,-0.5402530151581653,40.507540334385816,136.63237412837765,169.36203120171774,4.452476470008678,-1.249083668379225,-1.2189283599337797,6.771147878255612,32.86948370011016,45.19081968825256,-1.2952268994207872,0.6870499919747086,31.59691838716361,78.09384633605035,85.52277050303887
RH,2020-07-01,2020-06-30,db,1.98,7.65,18,False,6-30,-2.4342466775154725,14.758630917476822,110.93219821735963,17.42780997005906,115.31141624729746,5.43244118265956,-0.4983034762841343,6.28667822028699,29.155706941788708,17.128861569791297,33.661987533676864,-1.9456383849394077,7.970850946749031,63.31620430247662,0.2552303473807971,61.08649902654528
