deck,card,symbol,market,date,end,adr,base_len,cluster_k,collapsed,provisional,band,tag,reason
A,56,OXY,US,2020-06-18,870,0.08591931984693063,9.0,3.0,0.0,3.0,2.0,,
A,57,ABBV,US,2018-02-15,282,0.04334127678518679,15.0,4.0,0.0,2.5,2.0,,
A,58,APT,US,2020-07-10,885,0.12389091632762388,12.0,7.0,0.0,3.5,3.0,,
A,59,SNAP,US,2019-08-02,609,0.0432815907492732,6.0,4.0,0.0,2.0,1.0,,
A,60,CGNX,US,2018-08-13,405,0.029990290963358167,10.0,6.0,0.0,4.0,3.0,,
A,61,HSY,US,2022-05-10,1347,0.0218489692924168,14.0,5.0,0.0,4.0,3.0,,
A,62,LCID,US,2021-06-21,189,0.06745958145956012,10.0,5.0,0.0,4.5,4.0,,
A,63,BTI,US,2022-05-10,1347,0.015149369968217818,14.0,3.0,0.0,3.0,2.0,,
A,64,PACB,US,2022-11-30,1488,0.09777310665842608,11.0,7.0,0.0,4.5,4.0,,
A,65,APT,US,2021-08-13,1161,0.1459354526478199,11.0,7.0,0.0,4.5,4.0,,
A,66,BLDR,US,2023-06-12,1620,0.03044220440597136,5.0,4.0,0.0,2.0,1.0,,
A,67,AR,US,2020-05-22,852,0.13858959988322544,14.0,5.0,0.0,4.5,4.0,,
A,68,LOVE,US,2021-05-25,732,0.05923339405948156,19.0,7.0,0.0,4.5,4.0,,
A,69,SLQT,US,2021-04-30,237,0.043601537950485936,14.0,5.0,0.0,4.0,3.0,,
A,70,SNX,US,2019-10-09,696,0.02907439098354172,7.0,3.0,0.0,2.0,1.0,,
A,71,BMRN,US,2022-12-21,1503,0.026986044610402615,5.0,3.0,0.0,2.0,1.0,,
A,72,AGO,US,2022-03-07,1302,0.031203319865265044,7.0,4.0,0.0,1.5,1.0,,
A,73,COLD,US,2022-11-29,1224,0.028168969833936332,13.0,6.0,0.0,4.5,4.0,,
A,74,FEED,US,2021-08-11,774,0.3479019940592433,13.0,7.0,0.0,4.5,4.0,,
A,75,SPCE,US,2020-05-21,663,0.08938712956899658,10.0,3.0,0.0,3.0,2.0,,
A,76,AMD,US,2023-02-09,1536,0.04472775308504651,6.0,4.0,0.0,2.0,1.0,,
A,77,RARE,US,2018-08-21,411,0.04290326950851749,26.0,7.0,0.0,3.5,3.0,,
A,78,CRM,US,2019-02-27,540,0.021793646255218246,10.0,4.0,0.0,2.5,2.0,,
A,79,LIVN,US,2017-07-31,144,0.020828254250910495,14.0,7.0,0.0,2.5,2.0,,
A,80,ABBV,US,2017-11-17,222,0.026303041254240368,21.0,7.0,0.0,3.0,2.0,,
A,81,CAKE,US,2021-04-01,1068,0.05252130165140523,14.0,5.0,0.0,5.0,4.0,,
A,82,DXC,US,2017-09-01,168,0.01752864868165004,13.0,7.0,0.0,4.5,4.0,,
A,83,SLAB,US,2019-06-06,609,0.02902628620896137,31.0,3.0,0.0,2.0,1.0,,
A,84,GRWG,US,2021-01-19,741,0.0819919639256061,6.0,3.0,0.0,2.0,1.0,,
A,85,MELI,US,2017-07-21,138,0.029072088220351157,40.0,5.0,0.0,3.0,2.0,,
A,86,BLNK,US,2020-12-10,987,0.1927863402606397,13.0,6.0,0.0,4.5,4.0,,
A,87,CVI,US,2022-07-12,1389,0.07444789612737054,24.0,4.0,0.0,2.0,1.0,,
A,88,LPSN,US,2020-06-02,858,0.06805457649288035,11.0,5.0,0.0,4.0,3.0,,
A,89,CMG,US,2018-09-07,423,0.02400908643805092,16.0,5.0,0.0,3.5,3.0,,
A,90,META,US,2023-05-11,1599,0.02256660302220509,8.0,4.0,0.0,2.0,1.0,,
A,91,PHM,US,2018-12-31,501,0.03850664085402179,21.0,3.0,0.0,0.5,0.0,,
A,92,SWBI,US,2020-07-20,891,0.062087441857584545,11.0,4.0,0.0,3.5,3.0,,
A,93,MKTX,US,2023-03-29,1569,0.03084499258458543,9.0,6.0,0.0,3.5,3.0,,
A,94,SONO,US,2021-03-31,669,0.06045615014279963,13.0,5.0,0.0,4.5,4.0,,
A,95,WMS,US,2022-09-06,1428,0.031029161043668107,15.0,3.0,0.0,2.5,2.0,,
A,96,NERV,US,2022-09-19,1437,0.27898794598651017,13.0,7.0,0.0,4.5,4.0,,
A,97,LIVN,US,2018-06-26,372,0.027438967310615424,7.0,3.0,0.0,2.5,2.0,,
A,98,PCVX,US,2022-12-12,630,0.046481836568136536,11.0,3.0,0.0,2.5,2.0,,
A,99,UPST,US,2022-03-10,309,0.14193080405735697,8.0,3.0,0.0,3.0,2.0,,
A,100,ALGT,US,2020-06-23,873,0.08572758838093616,13.0,5.0,0.0,4.5,4.0,,
A,101,STAA,US,2021-06-07,1113,0.06917838358817117,6.0,5.0,0.0,3.5,3.0,,
A,102,SNAP,US,2019-04-16,534,0.039750054922668754,7.0,3.0,0.0,2.5,2.0,,
A,103,DAN,US,2019-10-01,690,0.042489740525021746,13.0,6.0,0.0,4.5,4.0,,
A,104,DD,US,2022-12-08,1494,0.023919390160059905,18.0,6.0,0.0,3.5,3.0,,
A,105,VMI,US,2022-08-26,1422,0.01917282162204955,9.0,4.0,0.0,2.5,2.0,,
A,106,XOM,US,2022-03-18,1311,0.03652320144794271,9.0,4.0,0.0,2.5,2.0,,
A,107,DJT,US,2022-03-28,123,0.0873566020239914,19.0,7.0,0.0,3.5,3.0,,
A,108,TSLA,US,2020-04-09,822,0.10418395522494536,37.0,4.0,0.0,2.0,1.0,,
A,109,YEXT,US,2019-04-03,495,0.04403999439318458,13.0,5.0,0.0,4.0,3.0,,
A,110,MSGS,US,2022-12-16,1500,0.019032127161490553,11.0,3.0,0.0,3.0,2.0,,
A,111,APPS,US,2021-10-29,1215,0.04844065388977592,7.0,3.0,0.0,2.5,2.0,,
A,112,IT,US,2022-12-27,1506,0.01959392894426464,10.0,3.0,0.0,2.0,1.0,,
A,113,FSLR,US,2022-09-30,1446,0.046690871397290855,8.0,4.0,0.0,1.5,1.0,,
A,114,WKHS,US,2020-09-30,942,0.13079380330860976,8.0,3.0,0.0,3.5,3.0,,
A,115,IT,US,2022-12-30,1509,0.018482819668571994,13.0,5.0,0.0,3.5,3.0,,
A,116,RARE,US,2018-07-13,384,0.04700510586972534,17.0,5.0,0.0,4.0,3.0,,
A,117,HYLN,US,2020-09-16,144,0.14977601015139783,10.0,5.0,0.0,3.5,3.0,,
A,118,META,US,2017-08-16,156,0.015282025058716698,15.0,3.0,0.0,3.0,2.0,,
A,119,DKS,US,2022-12-21,1503,0.03746105946048285,7.0,4.0,0.0,2.5,2.0,,
C,0,MEGA,IDX,2021-06-14,696,0.023642676549602115,44.0,3.0,0.022727272727272728,1.875,1.0,idx_locked,
C,1,ADHI,IDX,2021-04-19,1023,0.06189165965305864,44.0,4.0,0.0,2.5,2.0,idx_clean,
C,2,JSMR,IDX,2017-06-13,105,0.023797050927353725,8.0,3.0,0.0,2.5,2.0,idx_clean,
C,3,MAPI,IDX,2023-09-20,1617,0.03160135947717452,27.0,5.0,0.0,2.5,2.0,idx_clean,
C,4,PTBA,IDX,2018-09-10,393,0.04121364072010612,20.0,3.0,0.0,1.25,0.0,idx_clean,
C,5,PANI,IDX,2021-03-12,588,0.07959723727894902,13.0,3.0,0.15384615384615385,3.125,2.0,idx_locked,
C,6,SNAP,US,2019-08-02,609,0.0432815907492732,6.0,4.0,0.0,2.0,1.0,repeat,
C,7,ARTO,IDX,2023-02-17,1308,0.06204369721529759,11.0,3.0,0.09090909090909091,2.5,2.0,idx_locked,
C,8,BBCA,IDX,2020-04-21,789,0.06026325605464563,10.0,7.0,0.0,5.0,4.0,idx_clean,
C,9,JPFA,IDX,2019-12-16,705,0.0334603831878712,36.0,3.0,0.0,1.875,1.0,idx_clean,
C,10,BJTM,IDX,2020-05-18,807,0.03514829272852834,16.0,4.0,0.0625,1.25,0.0,idx_locked,
C,11,DEWA,IDX,2017-06-12,105,0.06963272210996962,43.0,7.0,0.023255813953488372,3.75,3.0,idx_locked,
C,12,BRMS,IDX,2017-12-28,234,0.06483362508240723,21.0,4.0,0.0,1.875,1.0,idx_clean,
C,13,BBRI,IDX,2020-06-24,831,0.057010950090258514,13.0,7.0,0.0,5.0,4.0,idx_clean,
C,14,ERAA,IDX,2020-06-25,831,0.05118866751174842,13.0,6.0,0.0,5.0,4.0,idx_clean,
C,15,BUMI,IDX,2017-10-19,189,0.09025572790624173,12.0,4.0,0.0,1.25,0.0,idx_clean,
C,16,BTPS,IDX,2019-08-26,306,0.039754493488702615,32.0,4.0,0.0,1.875,1.0,idx_clean,
C,17,BBHI,IDX,2021-02-09,972,0.14291735167142097,16.0,3.0,0.0625,2.5,2.0,idx_locked,
C,18,MYOR,IDX,2020-08-24,867,0.025692459977329475,14.0,6.0,0.0,3.75,3.0,idx_clean,
C,19,PANI,IDX,2020-03-03,354,0.10466816551869018,7.0,5.0,0.14285714285714285,2.5,2.0,idx_locked,
C,20,BAND,US,2020-05-22,636,0.06134983249338914,6.0,4.0,0.0,3.0,2.0,repeat,
C,21,RAJA,IDX,2024-10-24,1878,0.08402510326124454,13.0,5.0,0.0,3.125,2.0,idx_clean,
C,22,BJBR,IDX,2017-08-29,153,0.0665264973015831,13.0,7.0,0.0,5.0,4.0,idx_clean,
C,23,AKRA,IDX,2021-04-01,1017,0.0362279127779576,17.0,3.0,0.0,1.875,1.0,idx_clean,
C,24,BRPT,IDX,2024-01-04,1689,0.10633394515258573,17.0,7.0,0.0,3.75,3.0,idx_clean,
C,25,GOTO,IDX,2023-02-28,219,0.05284388795027282,18.0,5.0,0.05555555555555555,3.75,3.0,idx_locked,
C,26,ESSA,IDX,2023-09-25,1566,0.05602066782577073,4.0,3.0,0.0,1.875,1.0,idx_clean,
C,27,SMDR,IDX,2021-12-27,1197,0.06200636420572553,9.0,3.0,0.0,3.75,3.0,idx_clean,
C,28,UNVR,IDX,2024-08-08,1824,0.027940510912540805,38.0,3.0,0.0,1.25,0.0,idx_clean,
C,29,GOTO,IDX,2023-06-16,285,0.06356056471333908,11.0,4.0,0.09090909090909091,3.125,2.0,idx_locked,
C,30,PTBA,IDX,2020-08-07,858,0.03092740342176161,35.0,3.0,0.02857142857142857,1.25,0.0,idx_locked,
C,31,ANTM,IDX,2020-06-25,840,0.0541395116459009,13.0,6.0,0.0,5.0,4.0,idx_clean,
C,32,GGRM,IDX,2018-11-15,441,0.03356641594716644,8.0,3.0,0.0,1.25,0.0,idx_clean,
